CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
17850.0,301,0,312,1,5288.63,0,1,Low-Value
15808.0,305,0,210,1,3724.77,0,1,Low-Value
13047.0,31,3,196,1,3079.1,0,4,Mid-Value
12583.0,2,3,251,1,7187.34,0,4,Mid-Value
14688.0,7,3,359,1,5107.38,0,4,Mid-Value
12431.0,35,3,240,1,6416.39,0,4,Mid-Value
13448.0,16,3,199,1,3465.67,0,4,Mid-Value
17920.0,3,3,696,1,4204.1,0,4,Mid-Value
14849.0,21,3,392,1,7904.28,0,4,Mid-Value
17377.0,23,3,419,1,3925.92,0,4,Mid-Value
12662.0,0,3,232,1,3817.08,0,4,Mid-Value
12472.0,30,3,391,1,6229.48,0,4,Mid-Value
17346.0,3,3,503,1,2611.58,0,4,Mid-Value
13468.0,1,3,306,1,5656.75,0,4,Mid-Value
17690.0,29,3,258,1,4748.45,0,4,Mid-Value
14092.0,7,3,217,1,4063.1,0,4,Mid-Value
15752.0,39,3,412,1,2628.93,0,4,Mid-Value
15601.0,10,3,414,1,6745.36,0,4,Mid-Value
13418.0,11,3,314,1,5845.44,0,4,Mid-Value
14388.0,8,3,191,1,3172.04,0,4,Mid-Value
18041.0,11,3,474,1,4161.14,0,4,Mid-Value
14390.0,9,3,291,1,4592.47,0,4,Mid-Value
14060.0,4,3,203,1,6135.38,0,4,Mid-Value
15544.0,8,3,261,1,3542.51,0,4,Mid-Value
14180.0,10,3,248,1,4640.77,0,4,Mid-Value
14449.0,18,3,258,1,907.1,0,4,Mid-Value
16186.0,22,3,219,1,3991.94,0,4,Mid-Value
17228.0,15,3,208,1,1906.09,0,4,Mid-Value
17757.0,0,3,742,1,5585.49,0,4,Mid-Value
14395.0,1,3,353,1,3471.91,0,4,Mid-Value
17961.0,20,3,249,1,1296.44,0,4,Mid-Value
18225.0,2,3,286,1,5361.02,0,4,Mid-Value
12841.0,4,3,439,1,3876.4,0,4,Mid-Value
16905.0,4,3,209,1,3085.48,0,4,Mid-Value
16891.0,1,3,203,1,809.7,0,4,Mid-Value
13013.0,0,3,222,1,4786.99,0,4,Mid-Value
14723.0,9,3,278,1,1158.3,0,4,Mid-Value
17954.0,4,3,489,1,2295.37,0,4,Mid-Value
17238.0,2,3,566,1,3744.65,0,4,Mid-Value
15708.0,40,3,297,1,3329.7200000000003,0,4,Mid-Value
15351.0,11,3,233,1,1862.14,0,4,Mid-Value
18055.0,6,3,363,1,6752.14,0,4,Mid-Value
18109.0,1,3,454,1,7925.32,0,4,Mid-Value
13069.0,0,3,470,1,3717.82,0,4,Mid-Value
16241.0,9,3,662,1,2607.87,0,4,Mid-Value
14800.0,47,3,392,1,4236.34,0,4,Mid-Value
16814.0,13,3,325,1,6500.6,0,4,Mid-Value
13269.0,0,3,320,1,5315.92,0,4,Mid-Value
14810.0,40,3,255,1,2087.88,0,4,Mid-Value
17059.0,29,3,516,1,3095.04,0,4,Mid-Value
16327.0,13,3,319,1,3844.22,0,4,Mid-Value
17211.0,26,3,213,1,2299.67,0,4,Mid-Value
15570.0,6,3,330,1,4109.97,0,4,Mid-Value
17858.0,5,3,199,1,5155.66,0,4,Mid-Value
16393.0,1,3,358,1,2941.05,0,4,Mid-Value
15023.0,2,3,563,1,6763.16,0,4,Mid-Value
15426.0,18,3,300,1,1429.9,0,4,Mid-Value
15867.0,4,3,463,1,3797.79,0,4,Mid-Value
14506.0,16,3,316,1,2012.17,0,4,Mid-Value
12720.0,2,3,359,1,5713.28,0,4,Mid-Value
15502.0,15,3,252,1,5541.46,0,4,Mid-Value
17965.0,37,3,329,1,2622.57,0,4,Mid-Value
13174.0,15,3,314,1,2817.03,0,4,Mid-Value
16161.0,1,3,502,1,5352.97,0,4,Mid-Value
14189.0,1,3,277,1,4604.31,0,4,Mid-Value
12474.0,16,3,457,1,7116.47,0,4,Mid-Value
16719.0,14,3,203,1,1773.92,0,4,Mid-Value
17596.0,22,3,270,1,2827.93,0,4,Mid-Value
14085.0,1,3,451,1,4435.79,0,4,Mid-Value
17019.0,10,3,234,1,1272.61,0,4,Mid-Value
16722.0,16,3,228,1,4711.21,0,4,Mid-Value
16710.0,18,3,402,1,2483.04,0,4,Mid-Value
15984.0,2,3,275,1,2816.97,0,4,Mid-Value
17068.0,11,3,297,1,4531.34,0,4,Mid-Value
15356.0,30,3,519,1,2766.5,0,4,Mid-Value
17191.0,27,3,237,1,2095.13,0,4,Mid-Value
15194.0,2,3,326,1,7521.17,0,4,Mid-Value
17218.0,3,3,274,1,1960.72,0,4,Mid-Value
16782.0,9,3,197,1,2242.25,0,4,Mid-Value
15021.0,8,3,479,1,1872.28,0,4,Mid-Value
17091.0,2,3,198,1,3802.81,0,4,Mid-Value
16904.0,3,3,710,1,3754.27,0,4,Mid-Value
15858.0,15,3,191,1,1438.85,0,4,Mid-Value
17419.0,10,3,208,1,4200.97,0,4,Mid-Value
12839.0,2,3,316,1,5583.62,0,4,Mid-Value
17870.0,1,3,280,1,1889.4,0,4,Mid-Value
13267.0,2,3,224,1,4404.44,0,4,Mid-Value
13050.0,8,3,422,1,5684.61,0,4,Mid-Value
13599.0,0,3,264,1,5030.6,0,4,Mid-Value
18077.0,7,3,227,1,2633.0099999999998,0,4,Mid-Value
15750.0,2,3,295,1,2451.23,0,4,Mid-Value
17975.0,14,3,297,1,4393.61,0,4,Mid-Value
16558.0,0,3,474,1,8257.04,0,4,Mid-Value
16713.0,18,3,632,1,6840.2300000000005,0,4,Mid-Value
15529.0,22,3,674,1,3967.78,0,4,Mid-Value
16016.0,2,3,237,1,1483.31,0,4,Mid-Value
12766.0,3,3,310,1,6989.63,0,4,Mid-Value
15298.0,1,3,194,1,3774.1,0,4,Mid-Value
14030.0,17,3,243,1,2360.09,0,4,Mid-Value
16700.0,8,3,312,1,5040.0,0,4,Mid-Value
16011.0,7,3,212,1,3362.71,0,4,Mid-Value
16717.0,8,3,236,1,3278.36,0,4,Mid-Value
15358.0,4,3,561,1,8234.8,0,4,Mid-Value
12481.0,22,3,218,1,5590.86,0,4,Mid-Value
12683.0,3,3,362,1,8221.09,0,4,Mid-Value
13102.0,0,3,310,1,6336.29,0,4,Mid-Value
15271.0,6,3,275,1,2485.82,0,4,Mid-Value
16255.0,16,3,274,1,2609.3,0,4,Mid-Value
17097.0,1,3,213,1,937.92,0,4,Mid-Value
17576.0,7,3,417,1,3457.78,0,4,Mid-Value
14713.0,8,3,341,1,2664.2599999999998,0,4,Mid-Value
14702.0,0,3,348,1,3250.64,0,4,Mid-Value
13230.0,3,3,612,1,2763.41,0,4,Mid-Value
17530.0,0,3,394,1,2385.0,0,4,Mid-Value
15805.0,22,3,307,1,5452.17,0,4,Mid-Value
17827.0,4,3,220,1,1995.46,0,4,Mid-Value
16265.0,8,3,260,1,5423.15,0,4,Mid-Value
17790.0,26,3,190,1,1965.55,0,4,Mid-Value
14419.0,10,3,206,1,1058.06,0,4,Mid-Value
13148.0,28,3,347,1,3348.48,0,4,Mid-Value
15514.0,11,3,218,1,2963.19,0,4,Mid-Value
17220.0,23,3,472,1,3198.25,0,4,Mid-Value
16873.0,4,3,289,1,7066.31,0,4,Mid-Value
16923.0,11,3,696,1,6666.83,0,4,Mid-Value
17372.0,40,3,253,1,1342.68,0,4,Mid-Value
13668.0,2,3,501,1,6216.07,0,4,Mid-Value
14684.0,25,3,421,1,1236.28,0,4,Mid-Value
